company,ticker,step_id,section,status,source_access,next_action
Walmart Inc.,WMT,15,Human–AI Experiment,REGISTERED_NOT_EXECUTED,VERIFIED,Design then pilot retail/accounting task
Walmart Inc.,WMT,16,Human Gate,REGISTERED_NOT_EXECUTED,VERIFIED,Create reviewer decision record
Walmart Inc.,WMT,17,Automated Validation,REGISTERED_NOT_EXECUTED,VERIFIED,Run schema reconciliation and governance tests
Walmart Inc.,WMT,18,Interactive Prototype V1,REGISTERED_NOT_EXECUTED,VERIFIED,Add Walmart to five-view application
Walmart Inc.,WMT,19,Reproducibility Package,REGISTERED_NOT_EXECUTED,VERIFIED,Freeze clean-run package
Walmart Inc.,WMT,20,Independent Replication,REGISTERED_NOT_EXECUTED,VERIFIED,Run independent replication after core completion
JPMorgan Chase & Co.,JPM,1,Data & Evidence Gate,REGISTERED_NOT_EXECUTED,VERIFIED,Execute source registry and bank-specific provenance
JPMorgan Chase & Co.,JPM,2,Financial Statements / XBRL,REGISTERED_NOT_EXECUTED,VERIFIED,Extract and reconcile bank filing facts
JPMorgan Chase & Co.,JPM,3,Accounting Analytics,REGISTERED_NOT_EXECUTED,VERIFIED,Run bank-specific accounting and capital metrics
JPMorgan Chase & Co.,JPM,4,Audit / CAM / ICFR,REGISTERED_NOT_EXECUTED,VERIFIED,Extract public auditor report evidence
JPMorgan Chase & Co.,JPM,5,Text Analytics,REGISTERED_NOT_EXECUTED,VERIFIED,Run bounded risk and filing-text features
JPMorgan Chase & Co.,JPM,6,Finance / Market,REGISTERED_NOT_EXECUTED,VERIFIED,Build return and macro package
JPMorgan Chase & Co.,JPM,7,Fama–French,REGISTERED_NOT_EXECUTED,VERIFIED,Execute CAPM FF3 FF5 and robustness
JPMorgan Chase & Co.,JPM,8,Innovation / Patents,REGISTERED_NOT_EXECUTED,VERIFIED,Resolve entities and validate innovation measures where material
JPMorgan Chase & Co.,JPM,9,Management Accounting,REGISTERED_NOT_EXECUTED,VERIFIED,Run synthetic bank process BSC ABC TDABC microcase
JPMorgan Chase & Co.,JPM,10,Professional AI Benchmark,REGISTERED_NOT_EXECUTED,VERIFIED,Run banking/accounting-audit benchmark tasks
JPMorgan Chase & Co.,JPM,11,Cost per Verified Professional Output,REGISTERED_NOT_EXECUTED,VERIFIED,Compute verified professional cost metric
JPMorgan Chase & Co.,JPM,12,Digital Twin,REGISTERED_NOT_EXECUTED,VERIFIED,Instantiate bank Digital Twin with sector adapter
JPMorgan Chase & Co.,JPM,13,Evidence Passport,REGISTERED_NOT_EXECUTED,VERIFIED,Generate company-specific passports
JPMorgan Chase & Co.,JPM,14,Falsification / Robustness,REGISTERED_NOT_EXECUTED,VERIFIED,Challenge bank measures sources periods and models
JPMorgan Chase & Co.,JPM,15,Human–AI Experiment,REGISTERED_NOT_EXECUTED,VERIFIED,Design then pilot banking judgment task
JPMorgan Chase & Co.,JPM,16,Human Gate,REGISTERED_NOT_EXECUTED,VERIFIED,Create reviewer decision record
JPMorgan Chase & Co.,JPM,17,Automated Validation,REGISTERED_NOT_EXECUTED,VERIFIED,Run schema reconciliation and governance tests
JPMorgan Chase & Co.,JPM,18,Interactive Prototype V1,REGISTERED_NOT_EXECUTED,VERIFIED,Add JPMorgan to five-view application
JPMorgan Chase & Co.,JPM,19,Reproducibility Package,REGISTERED_NOT_EXECUTED,VERIFIED,Freeze clean-run package
JPMorgan Chase & Co.,JPM,20,Independent Replication,REGISTERED_NOT_EXECUTED,VERIFIED,Run independent replication after core completion
